dish_id,dish_name,dish_category,ingredient_id,ingredient_name,ingredient_category,quantity_per_plate,unit
D12,Bisi Bele Bath,Lunch,I11,Toor Dal,Pulse,40,g
D12,Bisi Bele Bath,Lunch,I29,Mixed Vegetables,Vegetable,80,g
D12,Bisi Bele Bath,Lunch,I30,Bisi Bele Bath Powder,Spice,8,g
D12,Bisi Bele Bath,Lunch,I17,Ghee,Fat,10,g
D13,Veg Biryani,Lunch,I31,Basmati Rice,Grain,150,g
D13,Veg Biryani,Lunch,I29,Mixed Vegetables,Vegetable,100,g
D13,Veg Biryani,Lunch,I06,Onion,Vegetable,40,g
D13,Veg Biryani,Lunch,I32,Biryani Masala,Spice,6,g
D13,Veg Biryani,Lunch,I17,Ghee,Fat,15,g
D13,Veg Biryani,Lunch,I33,Mint Leaves,Herb,5,g
D14,Chicken Biryani,Lunch,I31,Basmati Rice,Grain,150,g
D14,Chicken Biryani,Lunch,I34,Chicken,Meat,180,g
D14,Chicken Biryani,Lunch,I06,Onion,Vegetable,50,g
D14,Chicken Biryani,Lunch,I32,Biryani Masala,Spice,8,g
D14,Chicken Biryani,Lunch,I17,Ghee,Fat,15,g
D14,Chicken Biryani,Lunch,I33,Mint Leaves,Herb,5,g
D15,Filter Coffee,Beverage,I35,Coffee Powder,Beverage,10,g
D15,Filter Coffee,Beverage,I36,Milk,Dairy,100,ml
D15,Filter Coffee,Beverage,I22,Sugar,Sweetener,10,g
D16,Masala Chai,Beverage,I37,Tea Powder,Beverage,5,g
D16,Masala Chai,Beverage,I36,Milk,Dairy,100,ml
D16,Masala Chai,Beverage,I22,Sugar,Sweetener,10,g
D16,Masala Chai,Beverage,I38,Ginger-Cardamom Mix,Spice,2,g
D17,Rasam Rice,Lunch,I24,Raw Rice,Grain,150,g
D17,Rasam Rice,Lunch,I12,Tamarind,Spice,6,g
D17,Rasam Rice,Lunch,I39,Rasam Powder,Spice,5,g
D17,Rasam Rice,Lunch,I15,Tomato,Vegetable,30,g
D17,Rasam Rice,Lunch,I19,Cumin Seeds,Spice,1,g
D18,Payasam,Dessert,I40,Vermicelli,Grain,50,g
D18,Payasam,Dessert,I36,Milk,Dairy,150,ml
D18,Payasam,Dessert,I22,Sugar,Sweetener,40,g
D18,Payasam,Dessert,I20,Cashew,Nuts,5,g
D18,Payasam,Dessert,I23,Cardamom,Spice,1,g
